ID,Work Item Type,Title,State,Priority,Story Points,Description,Acceptance Criteria
,Feature,Portfolio Management,Active,2,29,"Create and manage portfolios within an Exchange. Track positions, cash balances, and P&L.",- Create portfolios with starting cash - View current positions and balances - Calculate unrealized P&L - Support multiple portfolios per user
,User Story,Create Portfolio API endpoint,New,2,8,Implement POST /api/v1/portfolios endpoint to create new portfolios within an Exchange.,- Validates request with Zod schema - Creates Portfolio record - Initializes cash balance from Exchange config - Associates portfolio with user and Exchange
,User Story,Portfolio positions view,New,2,8,"Display current positions for a portfolio including symbol, quantity, average cost, and current value.",- GET /api/v1/portfolios/:id/positions endpoint - Returns array of positions - Calculates unrealized P&L per position - Updates in real-time via SignalR
,User Story,Portfolio P&L calculation,New,2,8,Calculate total portfolio P&L including realized and unrealized gains/losses.,- Realized P&L from closed positions - Unrealized P&L from open positions - Total P&L = Realized + Unrealized - P&L displayed in portfolio summary
,User Story,Portfolio analytics dashboard,New,3,5,"Build dashboard showing portfolio performance metrics including Sharpe ratio, max drawdown, and volatility.",- Display key performance metrics - Charts showing equity curve over time - Daily returns histogram - Risk-adjusted return metrics
,Feature,Trading UI,Active,2,34,Institutional-grade trading interface with Kendo UI components. Display real-time market data, order entry, and position management.,- Professional trading UI with dark theme - Real-time price updates via SignalR - Order entry form with validation - Position and order blotters
,User Story,Price chart with Kendo Charts,Active,1,8,Implement candlestick chart using Kendo ChartComponent to display OHLC price data.,- Uses @progress/kendo-angular-charts - Candlestick series for price - Volume bars below price chart - Multiple timeframes supported - Real-time updates via SignalR
,User Story,Order entry form component,New,1,8,"Build order entry form with dropdowns for order type, side, and input fields for quantity and price.",- Angular standalone component - Kendo UI form controls - Real-time validation - Submit calls createOrder API - Displays success/error messages
,User Story,Order blotter with Kendo Grid,New,2,8,"Display all orders in a Kendo Grid with sorting, filtering, and real-time updates.","- Uses Kendo GridComponent - Shows order status, type, symbol, quantity, price - Sortable columns - Filterable by status - Updates in real-time via SignalR"
,User Story,Position blotter,New,2,5,"Display current positions in a grid showing symbol, quantity, average cost, current price, and P&L.",- Kendo Grid with position data - Color coding for P&L (green/red) - Real-time price updates - Calculated unrealized P&L
,User Story,Market depth display,New,3,5,Show order book depth with bid/ask prices and quantities.,- Display top 10 bid/ask levels - Color coded (buy=green, sell=red) - Real-time updates - Click to populate order entry form
,Feature,Analytics & Reporting,New,3,27,"Performance analytics, risk metrics, and historical reporting capabilities.",- Portfolio performance reports - Trade execution quality metrics - Risk exposure analysis - Historical data export
,User Story,Performance attribution report,New,3,8,Generate performance attribution report breaking down returns by security and time period.,"- Returns by security - Returns by time period (daily, weekly, monthly) - Contribution to total return - Export to CSV/Excel"
,User Story,Trade execution quality metrics,New,3,8,"Calculate execution quality metrics including slippage, fill rate, and time to execution.",- Slippage calculation (execution price vs. market price) - Fill rate percentage - Average time to execution - Metrics by order type
,User Story,Risk exposure dashboard,New,3,8,"Display current risk exposure including concentration risk, sector exposure, and VaR.","- Position concentration by symbol - Sector/industry exposure breakdown - Value at Risk (VaR) calculation - Charts with Kendo ChartComponent"
,User Story,Historical data export,New,3,3,"Export historical price data, orders, and transactions to CSV format.","- Export OHLC data to CSV - Export order history to CSV - Export transaction history to CSV - Date range selection"
